,barrio,price_usd_per_m2,surface_total_clean,rooms_clean,precios_nuevos,precios_aprox_usd_clean,amenities,estacionamiento,sum,pileta,parrilla,gimnasio,lavadero,solarium,quincho,baulera,terraza,expenses,floor_clean
524,,705.3469852104663,879.0,,620000.0,620000.0,True,False,False,True,True,False,True,False,False,False,True,,100.0
544,Villa Devoto,,,4.0,,,True,False,False,True,True,False,False,False,True,False,True,,100.0
545,Villa Devoto,,,3.0,,,True,True,False,True,True,False,True,True,False,False,False,,100.0
546,Villa Devoto,,,3.0,,,True,False,False,True,True,False,True,True,False,False,True,,100.0
547,Villa Devoto,,,3.0,,,True,True,False,True,True,False,True,True,False,False,False,,100.0
548,Villa Devoto,,,4.0,,,False,True,False,False,False,False,False,False,False,False,True,,100.0
549,Caballito,,,2.0,,,False,False,False,False,False,False,False,False,False,False,False,,100.0
550,Villa Devoto,,,4.0,,,True,True,False,False,False,False,False,False,False,True,False,,100.0
551,Villa Devoto,,,4.0,,,True,True,False,False,False,False,True,False,False,True,True,,100.0
555,San Telmo,2186.6666666666665,75.0,,164000.0,164000.0,False,True,False,False,False,False,False,False,False,False,False,,100.0
556,San Telmo,2658.227848101266,79.0,,210000.0,210000.0,False,True,False,False,False,False,False,False,False,False,False,,100.0
557,Mataderos,751.5337423312883,326.0,4.0,245000.0,245000.0,True,False,False,True,True,False,True,False,True,False,False,,100.0
558,Caballito,2339.285714285714,28.0,1.0,65500.0,65500.0,True,False,False,False,False,False,False,False,False,False,True,,100.0
559,Mataderos,1100.0,150.0,3.0,165000.0,165000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
560,Parque Avellaneda,837.6963350785339,191.0,3.0,160000.0,160000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
564,Boca,1606.060606060606,33.0,1.0,53000.0,53000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
565,Coghlan,2057.692307692308,104.0,4.0,214000.0,214000.0,True,True,True,False,False,True,False,True,False,False,True,,100.0
567,Palermo,2924.528301886793,106.0,3.0,310000.0,310000.0,True,True,False,False,False,False,False,False,False,True,False,,100.0
636,Recoleta,3883.720930232558,43.0,2.0,167000.0,167000.0,True,True,True,True,False,False,True,False,False,False,False,,100.0
637,San Telmo,1709.090909090909,55.0,3.0,94000.0,94000.0,True,False,False,False,False,False,True,False,False,True,True,,100.0
638,Barrio Norte,2857.142857142857,210.0,,600000.0,600000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
639,Boca,1709.090909090909,55.0,3.0,94000.0,94000.0,True,False,False,False,False,False,True,False,False,True,True,,100.0
640,Barracas,1709.090909090909,55.0,3.0,94000.0,94000.0,True,False,False,False,False,False,True,False,False,True,True,,100.0
641,Recoleta,3750.0,28.0,1.0,105000.0,105000.0,True,True,True,True,False,False,True,False,False,False,False,,100.0
643,Recoleta,3513.5135135135133,37.0,1.0,130000.0,130000.0,True,True,True,True,False,False,True,False,False,False,False,,100.0
645,Recoleta,3852.459016393442,61.0,2.0,235000.0,235000.0,True,True,True,True,False,False,True,False,False,False,False,,100.0
647,Palermo,3604.6511627906975,43.0,1.0,155000.0,155000.0,True,False,True,True,False,True,False,False,False,False,True,,100.0
648,Palermo,3266.666666666666,75.0,1.0,245000.0,245000.0,True,False,True,True,False,True,False,False,False,False,True,,100.0
652,Caballito,,41.0,1.0,,,False,False,False,False,False,False,False,False,False,False,False,,100.0
655,Caballito,,42.0,2.0,,,False,False,False,False,False,False,False,False,False,False,False,,100.0
656,Almagro,2065.5263157894738,38.0,1.0,78490.0,78490.0,True,True,True,False,True,False,True,False,False,False,True,,100.0
681,Recoleta,,147.0,,,,True,False,False,False,False,False,False,False,False,True,False,8500.0,9.0
